127.0.0.1 - - [26/Apr/2022:00:32:47 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:31 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:32 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:32 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:32 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:43 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:43 +0300] "GET /Expense_Management/html/library.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:43 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:43 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:44 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:44 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:44 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:44 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:44 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:44 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:44 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:44 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:44 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:48 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 200 3818
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:48 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:48 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:49 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:49 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:40:49 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:41:07 +0300] "GET /Expense_Management/html/home.html HTTP/1.1" 200 3818
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:41:08 +0300] "GET /Expense_Management/html/library.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:41:08 +0300] "POST /Expense_Management/router/api/session HTTP/1.1" 200 36
0:0:0:0:0:0:0:1 - - [26/Apr/2022:01:41:08 +0300] "POST /Expense_Management/router/api/home HTTP/1.1" 200 132
